time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-01-28T00:00:00.0000000Z;2021-01-29T00:00:00.0000000Z;2021-01-28T00:01:00.0000000Z;2021-01-28T23:59:00.0000000Z;30534.19532405923;33847.83217030459;29953.973058374107;33448.28306326555
2021-01-29T00:00:00.0000000Z;2021-01-30T00:00:00.0000000Z;2021-01-29T00:01:00.0000000Z;2021-01-29T23:59:00.0000000Z;33472.713060551534;38635.428561157;31989.32012506026;34342.12388295656
2021-01-30T00:00:00.0000000Z;2021-01-31T00:00:00.0000000Z;2021-01-30T00:01:00.0000000Z;2021-01-30T23:59:00.0000000Z;34358.91479079766;34908.306073743945;32860.3558017286;34306.35404074977
2021-01-31T00:00:00.0000000Z;2021-02-01T00:00:00.0000000Z;2021-01-31T00:01:00.0000000Z;2021-01-31T23:59:00.0000000Z;34233.67178456133;34374.46016714072;32216.38052111889;33127.16225108504
2021-02-01T00:00:00.0000000Z;2021-02-02T00:00:00.0000000Z;2021-02-01T00:01:00.0000000Z;2021-02-01T23:59:00.0000000Z;33071.95706069027;34712.6023493693;32382.692460227918;33546.13466510795
2021-02-02T00:00:00.0000000Z;2021-02-03T00:00:00.0000000Z;2021-02-02T00:01:00.0000000Z;2021-02-02T23:59:00.0000000Z;33457.59048457887;36006.28510896892;33457.59048457887;35522.91988118275
2021-02-03T00:00:00.0000000Z;2021-02-04T00:00:00.0000000Z;2021-02-03T00:01:00.0000000Z;2021-02-03T23:59:00.0000000Z;35508.38558774166;37691.89132727908;35436.67108753515;37691.89132727908
2021-02-04T00:00:00.0000000Z;2021-02-05T00:00:00.0000000Z;2021-02-04T00:01:00.0000000Z;2021-02-04T23:59:00.0000000Z;37775.151827034875;38721.17135687022;36258.89738312697;36993.70546665356
2021-02-05T00:00:00.0000000Z;2021-02-06T00:00:00.0000000Z;2021-02-05T00:01:00.0000000Z;2021-02-05T23:59:00.0000000Z;37099.17016502781;38343.52672490508;36647.02230715255;38329.8491247509
2021-02-06T00:00:00.0000000Z;2021-02-07T00:00:00.0000000Z;2021-02-06T00:01:00.0000000Z;2021-02-06T23:59:00.0000000Z;38380.16097789285;40992.16544808108;38256.55224964363;39348.8327847901
2021-02-07T00:00:00.0000000Z;2021-02-08T00:00:00.0000000Z;2021-02-07T00:01:00.0000000Z;2021-02-07T23:58:00.0000000Z;38961.884242261316;39700.78517542934;37442.990426595265;38963.36320432534
2021-02-08T00:00:00.0000000Z;2021-02-09T00:00:00.0000000Z;2021-02-08T00:01:00.0000000Z;2021-02-08T23:59:00.0000000Z;38947.50282544738;46494.47117642721;38050.79173495048;46494.47117642721
2021-02-09T00:00:00.0000000Z;2021-02-10T00:00:00.0000000Z;2021-02-09T00:01:00.0000000Z;2021-02-09T23:59:00.0000000Z;46661.91766728011;48178.36779114541;45067.98619844193;46567.786290076474
2021-02-10T00:00:00.0000000Z;2021-02-11T00:00:00.0000000Z;2021-02-10T00:01:00.0000000Z;2021-02-10T23:59:00.0000000Z;46577.80509857774;47323.681341663876;43822.88145347285;44917.5508741215
2021-02-11T00:00:00.0000000Z;2021-02-12T00:00:00.0000000Z;2021-02-11T00:01:00.0000000Z;2021-02-11T23:59:00.0000000Z;44876.86184903821;48643.56123379497;44048.62102301109;48100.89556291385
2021-02-12T00:00:00.0000000Z;2021-02-13T00:00:00.0000000Z;2021-02-12T00:01:00.0000000Z;2021-02-12T23:59:00.0000000Z;48140.91844002618;48889.03739035497;46261.37977216661;47519.48639129387
