btc weight,eth weight,xrp weight,returns,std,sharpe ratio
0.15,0.6,0.25,2.397859371637579,0.9022813487266077,2.65755174372349
0.15,0.65,0.2,2.4644408631572325,0.9070195207811652,2.7170758806103175
0.15,0.7,0.15,2.531022354676886,0.9145186933489047,2.7676004581256355
0.15,0.75,0.1,2.59760384619654,0.9247116958703322,2.8090959136746867
0.15,0.8,0.05,2.664185337716194,0.9375106671726399,2.841765359055474
0.15,0.85,0.0,2.7307668292358476,0.95281059620152,2.8660122380275133
0.2,0.0,0.8,1.5357067224979877,1.0017057488424288,1.5330916531852297
0.2,0.05,0.75,1.6022882140176413,0.9767596466589225,1.6404119677736329
0.2,0.1,0.7,1.6688697055372952,0.9538299942897897,1.7496511071450584
0.2,0.15,0.65,1.7354511970569488,0.9330654635451694,1.8599458075140043
0.2,0.2,0.6,1.8020326885766027,0.9146135310080254,1.9702668148704554
